12329,1190,780,4516.00,invincible
12796,1224,329,2718.40,美滋多生活超市
13034,1262,1,33.00,海南环坏
13219,1265,1473,5871.50,Dancing House
13272,1262,366,2981.40,海南环坏
13828,1304,71,737.50,咱们家
13924,1316,220,1324.50,青岛即墨宾馆
13997,1318,236,896.50,金银岛超市
14000,1317,1,30.00,桂花坪NO：1
14029,1322,1362,10268.00,黄山圆点网咖
14057,1325,248,2364.00,禾沐家温泉度假Mall
14058,1325,617,7349.00,禾沐家温泉度假Mall
14060,1325,273,3368.00,禾沐家温泉度假Mall
14061,1325,195,2361.00,禾沐家温泉度假Mall
14062,1325,146,1378.00,禾沐家温泉度假Mall
14063,1325,693,6743.00,禾沐家温泉度假Mall
14066,1325,1016,9527.00,禾沐家温泉度假Mall
14071,1328,70,608.20,华通嘉禾
14093,1331,547,4598.50,顾伟
14095,1332,121,736.60,铁少VR
14147,1301,536,5832.00,南凤百货
14166,1313,117,766.00,广西个体
14237,1262,1892,15889.90,海南环坏
14238,1262,845,6917.10,海南环坏
14241,1341,74,520.40,智能便利柜
14267,1343,2,24.00,帝晓商务会所
14268,1343,1,6.00,帝晓商务会所
14269,1342,1359,8154.00,湖北鸿鹄智企业管理公司
14270,1342,1065,5829.00,湖北鸿鹄智企业管理公司
14393,1359,512,2128.50,高唐音乐城
14407,1359,434,2567.50,高唐音乐城
14408,1359,54,208.50,高唐音乐城
14459,1341,237,1712.00,智能便利柜
14497,1359,282,1378.50,高唐音乐城
14676,1208,759,5254.67,好运坊goal便利购
14696,1375,178,943.50,24h自助售货
14698,1208,565,3993.64,好运坊goal便利购
14872,1262,1861,14827.60,海南环坏
14873,938,836,4020.25,智新便利
14919,1423,1548,13711.30,毛留山万货城
14934,1425,80,412.50,智能收入
14976,1434,77,381.40,奇人科技
14977,1262,977,7105.10,海南环坏
14991,1262,2471,21234.50,海南环坏
15141,1113,19,92.50,小书童
15145,1113,27,126.00,小书童
15155,1113,352,2676.10,小书童
15157,1113,1,9.90,小书童
15258,1359,1107,5479.50,高唐音乐城
15339,1331,290,1356.00,顾伟
15432,1468,41,258.70,猫公爵
15444,1113,938,7270.20,小书童
15445,1113,261,1734.20,小书童
15465,1471,249,2760.00,溪麓湖畔精品酒店
15485,1477,1124,7203.00,领航网咖
15488,1331,761,4551.50,顾伟
15611,938,598,3408.62,智新便利
15746,1521,385,2495.00,昆明市西山区明而悦餐万
15759,938,495,2683.30,智新便利
15763,1113,1357,8834.80,小书童
15811,1113,1061,7903.50,小书童
15839,1113,159,927.20,小书童
15844,1113,200,2127.60,小书童
15845,1113,396,2389.10,小书童
15846,1113,257,2036.50,小书童
15849,1113,1107,8328.00,小书童
15851,1113,12,102.10,小书童
15855,1262,1543,17523.50,海南环坏
15927,938,1342,6945.06,智新便利
15976,1317,194,2031.50,桂花坪NO：1
15994,1564,1856,13044.50,中通快递
16004,1568,81,498.86,江坊便利店
16110,1576,661,5938.50,天儒子零售
16121,1580,12,49.80,美时家
16123,1581,14,9.15,金香麟
16135,1579,820,8432.00,小潘小麦便利店
16139,1585,1525,7755.50,怡康宾馆
16149,1587,117,1829.00,御隆汤水世界
16152,1582,43,199.50,兴旺副食
16173,1587,424,5367.00,御隆汤水世界
16174,1587,444,5920.00,御隆汤水世界
16176,1600,907,6284.50,小宝总
16197,1608,1208,7503.70,昭华
16199,1611,32,526.80,小麦便利王龙林
16207,1621,571,3849.50,小麦便利黎清
16228,1612,8872,39625.50,无人自动售货机
16307,35190784,178,1039.00,人和舞蹈（城西校区）
16329,836436992,20,113.50,北京中亚恒星科贸有限公司
16346,1557,651,3250.50,南阳民安安防
16350,1557,607,2874.80,南阳民安安防
16360,154613760,2619,15795.50,辰辉
16377,836436992,154,1120.50,北京中亚恒星科贸有限公司
16384,726008832,442,2120.50,人和舞蹈（城东校区）
16397,679820288,2045,15188.60,翔哥六点半
16493,560811008,3178,16844.10,顺和便利
16508,1383234560,448,2373.10,泰州百冠
16509,195321856,446,3195.00,佳海商务酒店
16514,1423,4038,29857.10,毛留山万货城
16520,1586898944,672,6763.01,小麦便利马泉营格林豪泰店
16551,335383552,832,4023.40,迪卡侬24小时便利
16557,462357504,1011,5041.00,钟祥市人民医院自助售货机
16575,945420288,1223,7099.00,中化东方肥料厂江夏厂
16601,1392544768,1025,10987.90,顺吉商贸
16618,1056523264,257,2718.00,安徽南岳山庄宾馆有限公司
16687,1305862144,421,4127.50,西林网咖金大地店
16734,1056523264,46,798.00,安徽南岳山庄宾馆有限公司
16816,1577866240,9,93.00,理工大众串串香
16844,836436992,43,299.50,北京中亚恒星科贸有限公司
16845,1385916416,565,2786.30,F8
16874,1305862144,1821,9588.00,西林网咖金大地店
17018,639031296,213,1095.90,美而好
17156,15650816,1072,6107.00,Qishun
17189,734195712,328,2615.00,雀极王506
17202,459986944,4,12.00,One  more
17298,960107520,388,2109.00,优益派便利
17556,960107520,436,2884.70,优益派便利
19847,42372096,3334,25347.90,中山卫成